StockCode,product_clusters,tsne_1,tsne_2,median_unit_price,mode_description
10002,1,4.7215714,-30.612228,1.63,INFLATABLE POLITICAL GLOBE 
10080,1,14.438253,-10.216567,0.62,GROOVY CACTUS INFLATABLE
10120,1,19.643066,-14.335686,0.21,DOGGY RUBBER
10123C,4,68.064995,21.369867,0.65,HEARTS WRAPPING TAPE 
10124A,1,30.873064,-8.751636,0.42,SPOTS ON RED BOOKCOVER TAPE
10124G,1,18.386591,-12.058177,0.42,ARMY CAMO BOOKCOVER TAPE
10125,1,20.344015,39.729286,0.8300000000000001,MINI FUNKY DESIGN TAPES
10133,1,27.08625,-19.313633,0.83,COLOURING PENCILS BROWN TUBE
10135,1,27.1191,-19.319448,1.25,COLOURING PENCILS BROWN TUBE
11001,1,66.38271,-0.8395407,1.69,ASSTD DESIGN RACING CAR PEN
15030,1,-30.300278,-33.011745,0.29,FAN BLACK FRAME 
15034,1,27.867373,9.005336,0.485,PAPER POCKET TRAVELING FAN 
15036,1,25.149996,-22.658432,0.79,ASSORTED COLOURS SILK FAN
15039,1,9.719339,-20.13331,1.24,SANDALWOOD FAN
15044A,1,27.431194,9.201678,2.95,PINK PAPER PARASOL 
15044B,1,27.296057,9.448662,4.37,BLUE PAPER PARASOL 
15044C,1,27.296057,9.448667,4.37,PURPLE PAPER PARASOL
15044D,1,27.296057,9.448662,4.37,RED PAPER PARASOL
15056BL,1,-15.502482,-18.823034,5.45,EDWARDIAN PARASOL BLACK
15056N,1,-15.502914,-18.822908,5.45,EDWARDIAN PARASOL NATURAL
15056P,1,-15.4999,-18.825205,5.45,EDWARDIAN PARASOL PINK
15056bl,1,-30.692472,-24.682749,12.59,EDWARDIAN PARASOL BLACK
15056n,1,-30.692472,-24.682749,12.59,EDWARDIAN PARASOL NATURAL
15056p,1,-30.692472,-24.682749,12.59,EDWARDIAN PARASOL PINK
15058A,3,40.981087,-23.367855,9.37,BLUE POLKADOT GARDEN PARASOL
15058B,3,40.981613,-23.367256,7.95,PINK POLKADOT GARDEN PARASOL
15058C,3,-4.1511326,-18.453796,9.37,ICE CREAM DESIGN GARDEN PARASOL
15060B,1,29.820902,-37.95018,6.02,FAIRY CAKE DESIGN UMBRELLA
15060b,1,29.828997,-37.94915,8.29,FAIRY CAKE DESIGN UMBRELLA
16008,1,-11.684464,20.40574,0.12,SMALL FOLDING SCISSOR(POINTED EDGE)
16010,1,19.531681,-14.736172,0.12,FOLDING CAMPING SCISSOR W/KNIF & S
16011,1,72.91913,-16.823687,0.21,ANIMAL STICKERS
16012,1,72.91913,-16.823687,0.21,FOOD/DRINK SPONGE STICKERS
16014,1,-11.620461,20.390352,0.37,SMALL CHINESE STYLE SCISSOR
16015,1,17.587757,-12.036708,0.43,MEDIUM CHINESE STYLE SCISSOR
16016,1,-20.810577,6.4473457,0.7849999999999999,LARGE CHINESE STYLE SCISSOR
16020C,1,13.409688,31.886251,0.84,CLEAR STATIONERY BOX SET 
16033,1,19.271273,39.541122,0.12,MINI HIGHLIGHTER PENS
16043,1,-46.579918,1.0749708,0.12,POP ART PUSH DOWN RUBBER 
16045,1,-3.1237376,-7.6797204,0.08,POPART WOODEN PENCILS ASST
16046,1,8.45457,-9.817663,0.85,TEATIME PEN CASE & PENS
16048,1,-64.911,-2.1103888,0.625,TEATIME ROUND PENCIL SHARPENER 
16049,1,19.68964,-13.751318,0.27,TEATIME GEL PENS ASST
16052,1,14.119671,-10.355202,0.625,TEATIME PUSH DOWN RUBBER
16054,1,19.302494,-13.9501,0.27,POPART RECT PENCIL SHARPENER ASST
16151A,1,-37.242123,0.5732551,1.25,FLOWERS HANDBAG blue and orange
16156L,1,67.18253,22.118666,0.42,WRAP CAROUSEL
16156S,1,28.83053,-38.61214,0.36,WRAP PINK FAIRY CAKES 
16161G,1,67.393456,21.537073,0.1,WRAP BAD HAIR DAY
16161M,1,67.18253,22.118666,0.42,WRAP  PINK FLOCK
16161P,1,66.382774,19.824316,0.36,WRAP ENGLISH ROSE 
16161U,1,66.656425,21.939346,0.39,WRAP SUKI AND FRIENDS
16162L,1,38.18125,28.480476,0.65,THE KING GIFT BAG
16162M,1,38.18735,28.484528,0.42,THE KING GIFT BAG 25x24x12cm
16168M,1,38.17658,28.477257,0.83,FUNKY MONKEY GIFT BAG MEDIUM
16169E,1,68.586586,23.439215,0.39,WRAP 50'S  CHRISTMAS
16169K,1,64.96463,22.207684,0.42,WRAP FOLK ART
16169M,1,67.18253,22.118666,0.42,WRAP DAISY CARPET 
16169N,1,67.18253,22.118666,0.42,WRAP BLUE RUSSIAN FOLKART
16169P,1,67.18253,22.118666,0.42,WRAP GREEN RUSSIAN FOLKART 
16202A,1,-40.24881,-35.220657,0.5,PASTEL PINK PHOTO ALBUM 
16202B,1,-40.24881,-35.220657,0.5,PASTEL BLUE PHOTO ALBUM 
16202E,1,-40.255894,-35.22649,3.025,BLACK PHOTO ALBUM 
16206B,4,-15.790429,14.008596,1.25,RED PURSE WITH PINK HEART
16207A,1,-21.345524,-7.4424853,2.95,PINK STRAWBERRY HANDBAG 
16207B,4,-15.689646,13.041899,2.95,PINK HEART RED HANDBAG
16216,1,2.5929775,-9.987061,0.16,LETTER SHAPE PENCIL SHARPENER
16218,1,19.53287,-13.52827,0.29,CARTOON  PENCIL SHARPENERS
16219,1,16.022585,-11.128477,0.52,HOUSE SHAPE PENCIL SHARPENER
16225,1,2.035267,-15.196311,0.9550000000000001,RATTLE SNAKE EGGS
16235,1,19.314672,-13.24215,0.315,RECYCLED PENCIL WITH RABBIT ERASER
16236,1,19.331713,-13.227493,0.315,KITTY PENCIL ERASERS
16237,1,19.04461,-13.504431,0.315,SLEEPING CAT ERASERS
16238,1,56.700573,-15.160739,0.315,PARTY TIME PENCIL ERASERS
16244B,1,-40.25188,-35.226273,1.225,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A
16248B,1,9.26868,-21.370632,1.25,BLUE HOLE PUNCH
16254,1,9.245184,-20.190807,1.24,TRANSPARENT ACRYLIC TAPE DISPENSER
16258A,1,41.36733,33.79586,0.625,SWIRLY CIRCULAR RUBBERS IN BAG
16259,1,20.88379,25.156662,0.145,PIECE OF CAMO STATIONERY SET
17001,1,19.531713,-13.529172,0.29,HEAVENS SCENT FRAGRANCE OILS ASSTD
17003,1,10.25176,-3.527545,0.39,BROCADE RING PURSE 
17007B,1,25.780235,-19.49308,2.1,S/3 POT POURI CUSHIONS BLUE COLOURS
17011F,1,-3.7705934,-32.933804,2.1,ORIGAMI SANDLEWOOD INCENSE+FLOWER
17012A,1,22.906061,21.806778,2.46,ORIGAMI VANILLA INCENSE/CANDLE SET 
17012B,1,23.315588,22.280437,2.46,ORIGAMI JASMINE INCENSE/CANDLE SET
17012C,1,22.861618,21.744034,2.46,ORIGAMI LAVENDER INCENSE/CANDL SET 
17012D,1,10.352568,53.663704,2.485,ORIGAMI ROSE INCENSE/CANDLE SET 
17012E,1,23.624912,21.931093,2.51,ORIGAMI OPIUM INCENSE/CANDLE SET 
17012F,1,23.309336,22.27056,2.46,ORIGAMI SANDLEWOOD INCENSE/CAND SET
17013D,1,10.021819,51.62172,2.4699999999999998,ORIGAMI ROSE INCENSE IN TUBE
17014A,1,9.029091,-16.31489,1.075,ORIGAMI VANILLA INCENSE CONES
17021,1,19.690887,-13.749888,0.27,NAMASTE SWAGAT INCENSE
17028J,1,18.400135,-12.062737,0.42,INCENSE BAZAAR PEACH
17038,4,-13.569784,27.595945,0.46499999999999997,PORCELAIN BUDAH INCENSE HOLDER
17084A,1,19.639418,-14.334282,0.21,TRANQUILITY MASALA INCENSE
17084J,1,27.035254,35.30499,0.21,LOVE POTION MASALA INCENSE
17084N,1,27.157806,-37.81357,0.315,FAIRY DREAMS INCENSE 
17084P,1,17.832209,-12.707341,0.42,DRAGONS BLOOD INCENSE
17084R,1,23.435783,-26.880072,0.185,ASSORTED INCENSE PACK
17090A,1,-58.46369,-16.39233,1.05,LAVENDER INCENSE 40 CONES IN TIN
17090D,1,-58.86388,-16.750881,1.25,VANILLA INCENSE 40 CONES IN TIN
17091A,1,-58.462727,-16.570091,0.815,LAVENDER INCENSE IN TIN
17091J,1,-58.86388,-16.750881,1.25,VANILLA INCENSE IN TIN
17096,4,21.425955,-24.635319,0.315,ASSORTED LAQUERED INCENSE HOLDERS
17107D,1,-12.357686,-49.352818,2.55,FLOWER FAIRY 5 DRAWER LINERS
17109D,1,26.671104,-38.238285,1.035,FLOWER FAIRY INCENSE BOUQUET
17129F,1,-17.817532,25.340881,1.24,BLUE GLASS GEMS IN BAG
17136A,1,-3.6849315,46.435005,0.145,BLUE STONES ON WIRE FOR CANDLE
17164B,1,-11.6085615,20.38789,0.42,ASS COL SMALL SAND GECKO P'WEIGHT
17165D,1,-20.834589,6.4364877,1.05,ASS COL LARGE SAND FROG P'WEIGHT
