iter	Passed	Remaining
0	2	530
1	8	805
2	12	797
3	15	777
4	19	769
5	22	730
6	25	692
7	27	671
8	30	646
9	32	620
10	34	598
11	37	594
12	39	575
13	41	555
14	43	540
15	46	529
16	47	514
17	49	501
18	52	501
19	54	492
20	56	482
21	58	474
22	61	470
23	63	464
24	65	460
25	69	467
26	72	464
27	74	455
28	76	451
29	79	447
30	80	441
31	82	434
32	86	436
33	88	431
34	90	425
35	92	421
36	94	417
37	96	413
38	98	408
39	101	406
40	103	401
41	105	395
42	107	391
43	109	387
44	111	382
45	112	378
46	114	373
47	117	373
48	119	368
49	121	364
50	123	361
51	125	357
52	127	354
53	129	350
54	131	346
55	136	351
56	138	347
57	141	345
58	145	347
59	147	344
60	150	343
61	153	342
62	156	340
63	158	337
64	161	334
65	163	331
66	166	330
67	171	333
68	177	337
69	184	343
70	190	345
71	202	359
72	207	361
73	214	365
74	219	365
75	222	363
76	228	364
77	232	364
78	235	361
79	238	357
80	242	356
81	250	360
82	263	370
83	267	369
84	271	367
85	280	371
86	282	367
87	285	363
88	288	359
89	290	355
90	297	355
91	307	361
92	321	370
93	327	369
94	331	366
95	335	363
96	348	369
97	352	367
98	361	368
99	364	364
100	367	360
101	370	355
102	375	353
103	379	349
104	381	344
105	383	339
106	385	334
107	387	330
108	390	325
109	393	321
110	395	317
111	397	312
112	399	307
113	401	303
114	403	298
115	406	294
116	409	290
117	411	286
118	413	281
119	415	277
120	417	272
121	419	268
122	422	264
123	425	260
124	428	256
125	430	252
126	432	248
127	434	244
128	436	240
129	439	236
130	443	233
131	445	229
132	447	225
133	449	221
134	451	217
135	453	213
136	458	210
137	460	206
138	463	203
139	465	199
140	467	195
141	469	191
142	474	189
143	476	185
144	478	181
145	480	177
146	482	173
147	484	170
148	486	166
149	490	163
150	492	159
151	494	156
152	496	152
153	498	148
154	500	145
155	503	142
156	506	138
157	509	135
158	511	131
159	513	128
160	515	124
161	517	121
162	522	118
163	524	115
164	526	111
165	528	108
166	530	104
167	533	101
168	537	98
169	540	95
170	542	92
171	544	88
172	546	85
173	548	82
174	553	79
175	556	75
176	558	72
177	560	69
178	562	65
179	565	62
180	569	59
181	576	57
182	579	53
183	581	50
184	586	47
185	588	44
186	591	41
187	594	37
188	597	34
189	600	31
190	603	28
191	605	25
192	607	22
193	609	18
194	611	15
195	613	12
196	617	9
197	619	6
198	621	3
199	623	0
